Geographic code,geo_name,age,sex,edu,total,science,eng,math
48,Alberta,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",68335,38670,19300,10365
48,Alberta,"All ages, 15-plus",Female,Bachelor's degree,48740,27385,13930,7425
48,Alberta,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",27850,8855,11325,7670
48,Alberta,"All ages, 15-plus",Female,Master's degree,13010,7100,3690,2220
48,Alberta,"All ages, 15-plus",Female,Earned doctorate,3910,3080,620,210
48,Alberta,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",141580,41615,79660,20305
48,Alberta,"All ages, 15-plus",Male,Bachelor's degree,99520,26660,57915,14945
48,Alberta,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",78400,6370,56750,15280
48,Alberta,"All ages, 15-plus",Male,Master's degree,25840,7735,14360,3745
48,Alberta,"All ages, 15-plus",Male,Earned doctorate,10175,6030,3295,850
59,British Columbia,"All ages, 15-plus",Female,Bachelor's degree,52055,32070,10395,9590
59,British Columbia,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",23625,8290,6650,8685
59,British Columbia,"All ages, 15-plus",Female,Earned doctorate,4945,3975,530,440
59,British Columbia,"All ages, 15-plus",Female,Master's degree,14945,7885,3565,3495
59,British Columbia,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",75660,45705,15550,14405
59,British Columbia,"All ages, 15-plus",Male,Bachelor's degree,101250,32270,47745,21235
59,British Columbia,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",74985,6840,47790,20355
59,British Columbia,"All ages, 15-plus",Male,Earned doctorate,12785,8195,3155,1435
59,British Columbia,"All ages, 15-plus",Male,Master's degree,28865,8700,13695,6470
59,British Columbia,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",150555,50925,69055,30575
1,Canada,"All ages, 15-plus",Female,Bachelor's degree,368850,213130,83825,71895
1,Canada,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",215115,80105,55745,79265
1,Canada,"All ages, 15-plus",Female,Earned doctorate,34540,27445,4305,2790
1,Canada,"All ages, 15-plus",Female,Master's degree,116690,63590,28595,24505
1,Canada,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",547475,316335,126105,105035
1,Canada,"All ages, 15-plus",Male,Bachelor's degree,724000,192810,382005,149185
1,Canada,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",689160,74385,433110,181665
1,Canada,"All ages, 15-plus",Male,Earned doctorate,87340,53165,24700,9475
1,Canada,"All ages, 15-plus",Male,Master's degree,215825,62665,106260,46900
1,Canada,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",1085450,319330,549730,216390
46,Manitoba,"All ages, 15-plus",Female,Bachelor's degree,10690,6710,1725,2255
46,Manitoba,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",6150,2120,1590,2440
46,Manitoba,"All ages, 15-plus",Female,Earned doctorate,785,685,45,55
46,Manitoba,"All ages, 15-plus",Female,Master's degree,2430,1515,445,470
46,Manitoba,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",14465,9175,2395,2895
46,Manitoba,"All ages, 15-plus",Male,Bachelor's degree,19145,6470,8475,4200
46,Manitoba,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",19365,1150,12870,5345
46,Manitoba,"All ages, 15-plus",Male,Earned doctorate,2010,1415,440,155
46,Manitoba,"All ages, 15-plus",Male,Master's degree,3855,1530,1605,720
46,Manitoba,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",26435,9700,11390,5345
13,New Brunswick,"All ages, 15-plus",Female,Bachelor's degree,4680,3385,650,645
13,New Brunswick,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",4710,1190,1325,2195
13,New Brunswick,"All ages, 15-plus",Female,Earned doctorate,345,260,30,55
13,New Brunswick,"All ages, 15-plus",Female,Master's degree,950,570,210,170
13,New Brunswick,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",6230,4370,915,945
13,New Brunswick,"All ages, 15-plus",Male,Bachelor's degree,9255,2805,4770,1680
13,New Brunswick,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",15225,790,9765,4670
13,New Brunswick,"All ages, 15-plus",Male,Earned doctorate,1005,655,235,115
13,New Brunswick,"All ages, 15-plus",Male,Master's degree,2050,745,900,405
13,New Brunswick,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",12805,4345,6170,2290
10,Newfoundland and Labrador,"All ages, 15-plus",Female,Bachelor's degree,3200,2070,750,380
10,Newfoundland and Labrador,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",5270,950,1905,2415
10,Newfoundland and Labrador,"All ages, 15-plus",Female,Earned doctorate,295,250,15,30
10,Newfoundland and Labrador,"All ages, 15-plus",Female,Master's degree,975,640,190,145
10,Newfoundland and Labrador,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",4595,3035,990,570
10,Newfoundland and Labrador,"All ages, 15-plus",Male,Bachelor's degree,6140,2000,3310,830
10,Newfoundland and Labrador,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",11720,575,8350,2795
10,Newfoundland and Labrador,"All ages, 15-plus",Male,Earned doctorate,825,475,235,115
10,Newfoundland and Labrador,"All ages, 15-plus",Male,Master's degree,1595,705,665,225
10,Newfoundland and Labrador,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",8830,3270,4360,1200
61,Northwest Territories,"All ages, 15-plus",Female,Bachelor's degree,370,260,65,45
61,Northwest Territories,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",155,45,55,55
61,Northwest Territories,"All ages, 15-plus",Female,Earned doctorate,15,15,0,0
61,Northwest Territories,"All ages, 15-plus",Female,Master's degree,125,100,15,10
61,Northwest Territories,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",520,390,85,45
61,Northwest Territories,"All ages, 15-plus",Male,Bachelor's degree,505,235,225,45
61,Northwest Territories,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",640,65,430,145
61,Northwest Territories,"All ages, 15-plus",Male,Earned doctorate,35,35,0,0
61,Northwest Territories,"All ages, 15-plus",Male,Master's degree,155,95,60,0
61,Northwest Territories,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",725,370,300,55
12,Nova Scotia,"All ages, 15-plus",Female,Bachelor's degree,8725,6590,915,1220
12,Nova Scotia,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",6610,1995,1425,3190
12,Nova Scotia,"All ages, 15-plus",Female,Earned doctorate,760,590,70,100
12,Nova Scotia,"All ages, 15-plus",Female,Master's degree,1990,1335,310,345
12,Nova Scotia,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",11950,8815,1380,1755
12,Nova Scotia,"All ages, 15-plus",Male,Bachelor's degree,13940,5305,5735,2900
12,Nova Scotia,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",18260,980,12265,5015
12,Nova Scotia,"All ages, 15-plus",Male,Earned doctorate,2085,1525,380,180
12,Nova Scotia,"All ages, 15-plus",Male,Master's degree,3695,1445,1435,815
12,Nova Scotia,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",20785,8510,8250,4025
62,Nunavut,"All ages, 15-plus",Female,Bachelor's degree,95,65,15,15
62,Nunavut,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",85,15,40,30
62,Nunavut,"All ages, 15-plus",Female,Earned doctorate,10,10,0,0
62,Nunavut,"All ages, 15-plus",Female,Master's degree,55,35,10,10
62,Nunavut,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",145,115,15,15
62,Nunavut,"All ages, 15-plus",Male,Bachelor's degree,150,70,55,25
62,Nunavut,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",275,50,170,55
62,Nunavut,"All ages, 15-plus",Male,Earned doctorate,10,10,0,0
62,Nunavut,"All ages, 15-plus",Male,Master's degree,50,25,25,0
62,Nunavut,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",210,95,80,35
35,Ontario,"All ages, 15-plus",Female,Bachelor's degree,177990,101850,38385,37755
35,Ontario,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",79140,24315,21030,33795
35,Ontario,"All ages, 15-plus",Female,Earned doctorate,14470,11190,1955,1325
35,Ontario,"All ages, 15-plus",Female,Master's degree,56005,29065,14005,12935
35,Ontario,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",261765,147920,58990,54855
35,Ontario,"All ages, 15-plus",Male,Bachelor's degree,325650,85230,166720,73700
35,Ontario,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",278530,18095,185905,74530
35,Ontario,"All ages, 15-plus",Male,Earned doctorate,37450,21665,11420,4365
35,Ontario,"All ages, 15-plus",Male,Master's degree,100900,26225,50570,24105
35,Ontario,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",490035,137490,245570,106975
11,Prince Edward Island,"All ages, 15-plus",Female,Bachelor's degree,1270,1055,105,110
11,Prince Edward Island,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",1040,355,205,480
11,Prince Edward Island,"All ages, 15-plus",Female,Earned doctorate,120,110,0,10
11,Prince Edward Island,"All ages, 15-plus",Female,Master's degree,270,220,30,20
11,Prince Edward Island,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",1695,1415,135,145
11,Prince Edward Island,"All ages, 15-plus",Male,Bachelor's degree,1775,805,615,355
11,Prince Edward Island,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",2480,205,1515,760
11,Prince Edward Island,"All ages, 15-plus",Male,Earned doctorate,190,140,25,25
11,Prince Edward Island,"All ages, 15-plus",Male,Master's degree,375,220,110,45
11,Prince Edward Island,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",2455,1195,825,435
24,Quebec,"All ages, 15-plus",Female,Bachelor's degree,53215,26665,15410,11140
24,Quebec,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",55340,29860,8860,16620
24,Quebec,"All ages, 15-plus",Female,Earned doctorate,8140,6655,955,530
24,Quebec,"All ages, 15-plus",Female,Master's degree,23840,13815,5660,4365
24,Quebec,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",91035,49570,24185,17280
24,Quebec,"All ages, 15-plus",Male,Bachelor's degree,130920,26025,78460,26435
24,Quebec,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",175695,38100,87900,49695
24,Quebec,"All ages, 15-plus",Male,Earned doctorate,18795,11680,5055,2060
24,Quebec,"All ages, 15-plus",Male,Master's degree,44940,13745,21420,9775
24,Quebec,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",208945,53840,113685,41420
47,Saskatchewan,"All ages, 15-plus",Female,Bachelor's degree,7435,4760,1420,1255
47,Saskatchewan,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",4905,2035,1270,1600
47,Saskatchewan,"All ages, 15-plus",Female,Earned doctorate,710,600,75,35
47,Saskatchewan,"All ages, 15-plus",Female,Master's degree,1985,1200,460,325
47,Saskatchewan,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",10515,6755,2080,1680
47,Saskatchewan,"All ages, 15-plus",Male,Bachelor's degree,15225,4700,7775,2750
47,Saskatchewan,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",13065,1085,9045,2935
47,Saskatchewan,"All ages, 15-plus",Male,Earned doctorate,1935,1320,450,165
47,Saskatchewan,"All ages, 15-plus",Male,Master's degree,3305,1345,1390,570
47,Saskatchewan,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",21290,7560,10090,3640
60,Yukon,"All ages, 15-plus",Female,Bachelor's degree,380,260,60,60
60,Yukon,"All ages, 15-plus",Female,"College, CEGEP or other non-university certificate or diploma",230,85,60,85
60,Yukon,"All ages, 15-plus",Female,Earned doctorate,20,20,0,0
60,Yukon,"All ages, 15-plus",Female,Master's degree,115,105,10,0
60,Yukon,"All ages, 15-plus",Female,"University certificate, diploma or degree at bachelor level or above",565,405,85,75
60,Yukon,"All ages, 15-plus",Male,Bachelor's degree,515,230,215,70
60,Yukon,"All ages, 15-plus",Male,"College, CEGEP or other non-university certificate or diploma",535,80,360,95
60,Yukon,"All ages, 15-plus",Male,Earned doctorate,30,20,0,10
60,Yukon,"All ages, 15-plus",Male,Master's degree,195,140,40,15
60,Yukon,"All ages, 15-plus",Male,"University certificate, diploma or degree at bachelor level or above",785,405,290,90
